Call ID,Restaurant ID,Call Date,Sentiment,Recommended Dishes/Quotes,Call Highlights
25022103,MORTONST,02/21/2025,Zing,"""Filet mignon and potatoes didn’t have much taste.""",Caller Tims is disappointed in bland tasting food and missing sauce; appetizer didn't come out as expected. Prefers Landry's instead.
25021401,CUBA1918,02/14/2025,Mixed,"""Cuban sandwich was delicious, just the right amount of everything.""","Alejandro called in with a mixed bag about Cuba 1918. He raved about the food—said the Cuban sandwich was spot-on delicious and the beans were perfectly seasoned. Loved the vibe too, reminded him of spots in interior Mexico. But the service? Yikes. The waitress dropped the check mid-bite, saying her shift was over, and they were out of desserts and to-go coffees despite him asking earlier. Jack chimed in, suggesting it’s fixable and he’d mention it to the owner, Ray, to make it right. Still, Alejandro’s willing to give it another shot."
25021402,THELAKEH,02/14/2025,Zing,"""Only good thing tasteful was the coleslaw.""","Michael had a rough time at The Lakehouse in Kerrville. He went with his wife and daughter, expecting some solid Hill Country eats. His catfish was meh, his daughter’s cheeseburger tasted like a sad school lunch, and his wife’s chicken fried steak had a human hair in it—gross! They comped and remade her meal, which was decent of them, but it was just a basic Sam’s patty with gravy. Only the coleslaw got a thumbs-up. Michael was bummed, especially since it’s been around a while with decent reviews. First-time call for this spot, and Jack noted it didn’t sound too good."
25021403,WAHOOSSE,02/14/2025,Praise,"""Redfish Pontchartrain… shrimp and crab on top.""","Wayne from Comfort gave a shoutout to Wahoo’s in Kerrville. He’s all about their seafood—said the fish is always great, especially the redfish Pontchartrain with shrimp and crab in a killer sauce. The shrimp and grits were a hit too. It’s tight on seating, so he suggests calling ahead. Jack loved the call, and it’s the first time Wahoo’s has been on The Dish. Wayne’s enthusiasm makes you want to drive out there ASAP!"
25021404,SALTGRAS,02/14/2025,Praise,"""Ribeye with the baked potato… so delicious.""","Mary and her Valentine pals hit up Saltgrass on the River Walk. Her ribeye had to go back once, but when it came out right, it was delicious—same for her friends’ orders, with baked potatoes and salads shining too. The wine and a cranberry-vodka-lime drink were highlights. Downside? Super crowded and loud in the middle, so she’d opt for a booth next time. Jack noted how noisy hard floors and high ceilings can get—maybe they need some carpeting! Still, she’d go back."
25021405,REDBUDCA,02/14/2025,Praise,"""Excellent quiche… soups and sandwiches.""","Jeff stopped by Redbud Cafe in Blanco after work and can’t stop praising it. He’s been multiple times and loves the quiche combo—quiche with soup or a half sandwich. Great beer selection too. But the kicker? At 6 PM, a one-man band led the packed place in singing the National Anthem—everyone stood up, and it gave him goosebumps. They do it every Friday and Saturday with live music. Jack compared it to a Casablanca moment and said it makes him want to go. First call for Redbud, and Jeff sold it hard!"
25020701,CUBA1918,02/07/2025,Praise,"""Sunday brunch… $20 all you can eat, lovely!""","Sandra called in buzzing about Cuba 1918 after hearing Jack rave about it the day before. She’s not a Cuban food expert, but this place won her over with its $20 all-you-can-eat Sunday brunch—fruit, pastries, charcuterie, bacon, eggs, French toast, Cuban rice, the works! She brought her dog to the patio (bonus: there’s a playground for kids), and the family vibe—run by her friend, her husband, and their son—made it feel like home. Karaoke, live jazz, and flamenco nights add flair. Jack loved her take, noting he’s been there too and wants it to thrive."
25020702,ELMIRASO,02/07/2025,Praise,"""Green chile relleno… really good!""","Brian gave a shoutout to El Mirasol just shy of Boerne on I-10 West, in the Napa Oaks shopping center. He dug into the green chile relleno and loved it—said the individual nachos were a hit too. Enchiladas get a nod as well. It’s not huge, but he’s never had to wait for a seat, and the outdoor seating’s a nice touch. Jack knew the San Antonio locations — sounds like a solid stop on the way to Boerne!"
25020703,JACKSCHO,02/07/2025,Praise,"""Parmesan Salmon is great!""","Michael has been three times and calls it a gem—great atmosphere, kind staff, and awesome food. The Parmesan Salmon during their 4-6 PM specials is a standout. He’s met locals and travelers alike there, from newlyweds to tourists, and loves the cozy vibe—sitting at the bar’s a perk. Jack’s adding it to his list for his next Fredericksburg trip, and it’s a first-time call for this spot."
25012401,TONYGSSO,01/24/2025,Praise,"""Smothered pork chops… incredible!""","John raved about the smothered pork chops, collard greens, green beans, and cornbread pudding—said it took him back to his grandmother’s table. Friendly staff and great vibe. Jack noted past calls confirm it’s a solid spot."
25012402,FATBOTTO,01/24/2025,Praise,"""PB&J cheesesteak… it just works!""",Jason praised the quirky peanut butter and jelly cheesesteak—crunchy PB with strawberry habanero jelly. Sounds odd but works. Operates from a kitchen inside Old Iron Horse Saloon with a food truck outside. 
25012403,CHESCHIC,01/24/2025,Praise,"""Gizzards… exactly what I remember!""","Roland enjoyed gizzards, tater tots, and fried bologna—said it’s as good as he remembered from three months ago. To-go only, mom-and-pop vibe. Jack liked the fried focus."
25012404,TRUETEXA,01/24/2025,Praise,"""Brisket sandwich… nice and tasty!""",Esteban called it a partial Whataburger replacement—loved the brisket sandwich and sauce from the recently opened location. Convenient for grocery runs. Jack recalled a funny story from another H-E-B visit.
25012405,CAPNJIMS,01/24/2025,Praise,"""Fish and chicken… great for $10.69!""","Henry praised the $10.69 deal—two big pieces of fish, two chicken, fries, and tea. Tasty and fresh, takeout only. Compared it to Church’s but better value. Jack noted it’s a first-time call."
25012406,CURRYBOYTH,01/24/2025,Praise,"""Brisket with curry sauce… outstanding!""","JC loved the tender brisket over rice with curry sauce and curry creamed corn—unique and flavorful. Not traditional BBQ but worth it. Jack agreed it’s a bold fusion that works, from his own visit."
25012407,CURRYBOYSO,01/24/2025,Praise,"""Curry creamed corn… amazing!""","In the same call on 1/24/25, JC also praised the newer Stone Oak location—same great brisket and curry combo. Took it to-go and was impressed. Jack noted the chicken he tried there was spot-on too."
25012408,BDADDYSB,01/24/2025,Praise,"""Chicken… like a basketball, so juicy!""","Alejandra raved about the huge, juicy chicken and flavorful jalapeno sausage—brisket was tender too. First visit, loved the outdoor seating near Floore’s. Jack noted the BBQ streak on the show."
25011701,BOHANANS,01/17/2025,Praise,"""Wagyu steak… excellent!""","Linda praised the steaks—some had Wagyu—for a 90th birthday party. Service was top-notch, and the pretty setting made it a hit. Jack called it a special-occasion gem, recalling a past zing about Robert Duvall distracting staff."
25011702,TACOJALI,01/17/2025,Praise,"""Pozole… best I’ve ever tasted!""","Richard raved about the pozole—best he’s tasted—and recommended the pork tap plate and gringo plate. Homemade tortillas sealed the deal. Jack noted it’s a first-time call, [caldo is] perfect for upcoming cold weather."
25011703,GENNAROS,01/17/2025,Praise,"""Osso buco… you’re not gonna eat it all!""","Thomas enjoyed a hefty osso buco lunch special for $16—too big to finish. Giant restaurant, cool vibe, not pricey, and great for Italian fans. Jack confirmed it’s a local favorite with a Canyon Lake location."
25011704,ELRANCHI,01/17/2025,Praise,"""Caldo de res… absolutely awesome!""","Jorge praised the caldo de res and menudo—best he’s had, even compared to Mexico—plus machacado con huevo. Wonderful servers, colonial old-style Mexican atmosphere, medium-sized, hard to find, near Navistar plant. Jack noted it’s a first-time call, a bit hidden but worth finding."
25011705,MARIABON,01/17/2025,Praise,"""Enchiladas and mole… fantastic!""","Salvador loved the colonial vibe and great food—enchiladas, mole, and crispy tacos stood out. Inspired by the iconic María Bonita name (i.e., actress and singer María Félix, a prominent figure in the Golden Age of Mexican cinema known for her beauty, talent, and strong personality)."
25011706,INDIATAJ,01/17/2025,Praise,"""Food was great.""","Listener Blanche visited after hearing about it on the show, remembered being there before, food was great."
25011001,INDIATAJ,01/10/2025,Praise,"""Chicken tikka masala, veggie samosas, naan, mango custard, and perfect basmati rice were phenomenal.""","Jack shared his delightful takeout experience—loved the hot, fresh food and can’t wait to recommend it!"
25011002,ELMONTEB,01/10/2025,Praise,"""Homemade corn tortillas, avocado, pico de gallo, and a three-taco special with rice and beans for $18+.""",Dean called in with enthusiasm about their Sunday barbacoa—said it’s the best he’s ever had with a friend agreeing!
25011003,INDIAPAL,01/10/2025,Praise,"""Great food.""","Richard wrote in, praising this family favorite—memories span over 20 years of great visits!"
25010301,ALDOSRIS,01/03/2025,Praise,"""Everything was good.""","Jack reminisced about his New Year’s Eve dinner—packed house, special menu, and great service from a place he’s loved for years!"
25010302,ALDINOAT,01/03/2025,Praise,"""Great food.""",Jack recalled fond memories of this spot from Central Park Mall days—still excellent despite the special New Year’s Eve menu.
25010303,LITTLEIT,01/03/2025,Praise,"""Chicken piccata, rigatoni with fantastic marinara, super good bread, and a spicy marinara twist.""","Omar gave a 90% praise—loved the chicken piccata, rigatoni, marinara, and bread, though the spicy marinara with Frank’s RedHot was a surprise!"
25010304,CHINABOW,01/03/2025,Praise,"""General Tso’s chicken, lemon chicken, hot and sour soup, and mongolian beef were great.""",Tom called in with a yearly tradition—enjoyed a Christmas Eve feast and loved the consistent quality!
25010305,NORTHERN,01/03/2025,Praise,"""Poutine with spiced fried potatoes, gravy, and cheese curds was phenomenal.""",Frank shared his discovery—charmed by the mom-and-pop vibe and a unique poutine from a Canadian-inspired menu!
25010306,CORUS471,01/03/2025,Praise,"""Breaded fried catfish (3-4 filets) with salad bar and fries/veggies—best nachos in Texas too!""","Michael raved about this roadside gem—catfish stole the show, especially with live music on weekends!"
25010307,SONIASME,01/03/2025,Praise,"""Great food.""",Robert reminisced sadly about this closed spot—loved the fresh food and top-notch team service a year ago.
24122001,INSPIRIA,12/20/2024,Praise,"""You cannot beat that [price]… it’s a great and it’s a good product… rustic Alaskan pizza.""","Caller Matt praised the pizza for its value and quality, mentioning a large size for $7.95, fresh toppings, and a rustic Alaskan dough. Also noted sandwiches and a spacious lounge atmosphere with plans for cocktails."
24122002,POPOTRAT,12/20/2024,Praise,"""Spaghetti with sausage instead of meatballs… outstanding salad… we love everything there.""","Caller Blaine raved about the Christmas decorations (best in San Antonio), full Italian menu, and family-run vibe. Changed dinner plans to go there due to the festive appeal."
24122003,CURRYBOYTH,12/20/2024,Praise,"""Really good… traditional barbecue with curry rice bowls.""","Caller Omar highlighted the unique fusion of traditional barbecue with curry rice bowls, calling it his favorite place in San Antonio."
24120601,HONDOSON,12/06/2024,Praise,"""Baked goat cheese salad… portobello burger… curly fries and matchsticks [fried jalapeños].""","Caller Danielle enjoyed it after visiting Enchanted Rock on Black Friday. Praised the food and casual order-at-the-bar setup, great for vegetarians."
24120602,TIASTACO,12/06/2024,Praise,"""Mexican plate with enchilada, taco, and chupa… burrito with fajita meat and usada sauce… taco salad.""","Caller Marie praised the menudo, Mexican plate, and burrito. Noted a unique taco salad without beans and rice. Multiple locations visited, but Brook City Base highlighted."
24121301,CUBA1918,12/13/2024,Praise,"""Cuban sandwich… empanadillas with guava barbecue sauce.""","Host Jack praised the exceptional Cuban food, strong coffee, and unique old-world vibe. Noted live music and BYOB appeal."
24121302,UMBERTOS,12/13/2024,Praise,"""Chicken piccata… chicken parm… chicken gorgonzola… Thai salad dressing… bruschetta.""","Caller Will praised the variety and quality, comparing it favorably to East Coast Italian. Drives from Spring Branch for it."
24121303,JULIANSIAH,12/13/2024,Praise,"""Spaghetti and meatballs… pizza… salad with homemade dressing.""","Caller Debbie praised the fresh salad and homemade dressing, spaghetti, and pizza. A special outing with her son."
24121304,AZÚCANUE,12/13/2024,Praise,"""Mojitos… happy hour menu… all entrees outstanding.""",Caller Julie praised the happy hour ($4 drinks/food) and outstanding entrees. Drives an hour to dine there regularly.
24121305,ELCHAPAR,12/13/2024,Zing,"""Two cheese enchilada plate with a taco.""","Caller Mike zinged high prices ($17 for two cheese enchiladas and a taco), average food, but cool ambiance."
24121306,TANDOORP,12/13/2024,Praise,"""Chicken 65… fish pakora… tikka masala.""","Caller Alan praised the new location’s food quality, noting unique dishes like Chicken 65 and fish pakora. The new location has ample parking in the back (If you're coming up toward the medical center, Alan suggests go down to Tommy's restaurant and make it go through there and turn around at the light)."
24121307,CHINABOW,12/13/2024,Praise,"""Wonton soup… hot and sour soup.""","Caller Tom praised it as a 15-year Christmas Eve tradition after mass, highlighting fresh food and soups."
24121308,PONCHOSM,12/13/2024,Praise,"""Beef enchiladas (homemade now).""","Caller Gordon shared a Christmas Eve tradition of dining there then viewing lights, now replaced with homemade enchiladas."
24121309,TACOBELL,12/13/2024,Zing,"""Six crispy tacos.""","Caller Gordon zinged high prices ($19 for six crispy tacos), calling it overpriced for fast food."
24111501,MYRONSPR,11/15/2024,Praise,"""Filet mignon… asparagus… bread pudding.""",Caller Chris praised a business dinner after not visiting in years. Highlighted perfectly cooked steak and great service.
24111502,ELMIRASO,11/15/2024,Praise,"""Chicken beef enchiladas… drinks.""",Caller Mary gave a B grade for food at a birthday celebration. Noted loud atmosphere but great decor and drinks. Suggested patio to reduce noise.
24111503,PHOVNBIS,11/15/2024,Praise,"""Pho.""",Caller Mary praised multiple visits for excellent pho and waitstaff. Located near El Mirasol and The Hayden.
24111504,GARCIASB,11/15/2024,Zing,"""Barbecue sandwich… brisket taco.""","Caller Alejandro zinged high prices ($19 sandwich), small portions, salty meat, and no sauce offered."
24110801,KOREANAR,11/08/2024,Praise,"""Beef bibimbap… sundubujjigae (seafood tofu soup).""","Caller Linda, who lived in Korea for 15 years, praised authentic food and remodeled, clean space."
24110802,SMOKINMO,11/08/2024,Zing,"""Turkey… potato salad… pecan pie.""","Caller Richard zinged dry, salty turkey, watery potato salad, and a drippy pecan pie. Compared unfavorably to Bill Miller’s."
24110803,STONETER,11/08/2024,Praise,"""Beef Wellington… beef flight… fried bread pudding.""","Caller Mike gave “100 stars” for amazing food, atmosphere, and outdoor view. Visited three times."
24110804,ELBUCANE,11/08/2024,Praise,"""Street tacos… enchiladas… appetizers.""","Caller Paul praised tasty food, good ambiance, and polite staff at this former Poncho’s location."
24110805,SOPHIASP,11/08/2024,Praise,"""Spaghetti marinara… pizza slices… lasagna.""","Caller Hilda praised fresh, homemade spaghetti and plans to try NY-style pizza and lasagna. Noted Subway-like seating."
24110806,MAREEMON,11/08/2024,Praise,"""Chicken parmesan… fennel pasta with vodka sauce.""","Caller Alejandro praised delicious food, light breading, and warm owner greeting. Compared favorably to other Italian spots."
24110101,ELMONTEB,11/01/2024,Praise,"""Brisket tacos with pico and avocado… sausage… pulled pork… brownies.""","Caller Dean praised homemade tortillas, meats, and friendly owner who remembers names. Noted small indoor space (3 tables) and patio."
24110102,PASHAEXP,11/01/2024,Praise,"""Gyro with lamb/beef… green onions… sautéed zucchini… garlic sauce.""","Caller Tim praised fresh, customizable gyro with rotisserie meat. Compared setup to Chipotle, distinct from other Pasha locations."
24110103,THEDOUGH,11/01/2024,Zing,"""Small pizzas… side salad.""","Caller Scott zinged high prices ($100 for 2 small pizzas, salad, drinks), 90-min wait, and trendy food. Family preferred Little Caesar’s."
24110104,ROYALINN,11/01/2024,Praise,"""Mongolian beef with white and green onions.""",Caller James praised tender Mongolian beef with abundant onions and excellent service. Noted large dining room in shopping center.
24110105,EVILOLIV,11/01/2024,Praise,"""Taco Tuesday special (3 tacos, beans, salsa)… chicken wrap.""",Caller Jay praised Taco Tuesday special ($9.99) and wife’s chicken wrap. Noted full menu available.
24110106,TEXASDWI,11/01/2024,Praise,"""Chicken… brisket… sweet potato casserole… cobblers.""","Caller Jim praised weekly visits for chicken, brisket, and sides like sweet potato casserole. Multiple locations mentioned."
24110107,NICKSTAC,11/01/2024,Praise,"""Mini tacos al pastor… enchilada plate… pork chop… Nick burger.""",Caller Nicole praised pastor-owned spot for quality food at low prices and “Wall of Hope” initiative.
24110108,MAXLOUIE,11/01/2024,Praise,"""Open-faced Reuben sandwich… salad… burgers… chicken tenders.""",Caller Dan praised massive open-faced Reuben sandwich. Noted busy atmosphere and authentic NY vibe.
24102501,LALASGOR,10/25/2024,Praise,"""Combo plate (enchilada, bean cup, puffy rice, beans, tea).""","Caller Anna praised fresh masa, economical combo plate ($9.99), and seating options. Open late except Mondays."
24101101,WINDCRES,10/11/2024,Praise,"""It’s better than most Chinese places around here.""","Caller Kathy shared how a Chinese couple revamped this spot inside the golf course. Said it’s a cozy, lesser-known place with great food, open to everyone."
24101102,GIUSEPPE,10/11/2024,Praise,"""Lasagna… ravioli with vodka sauce… pizza.""",Caller Paul couldn’t get over the amazing service—waitress was on it with napkins and refills without him asking. Food’s solid too!
24101103,LITTLEIT,10/11/2024,Praise,"""Calzone.""","Caller Paul swore this place nails calzones—big, puffy, and light, not like those fake stromboli imposters. A must-try for Italian fans!"
24101104,TACOSVIT,10/11/2024,Zing,"""Pollo plate (size of a hot dog).""","Caller Alexander was super let down by this spot. Said the food was bland, overpriced, and not worth the hype from past calls."
24101105,SAFREDER,10/11/2024,Praise,"""Pizza burger (everything on a burger but on a pizza)… wings.""",Caller Jim was thrilled they moved from a tiny convenience store spot to a full restaurant across from O.P. Schnabel Park. Loves the roomier setup and tasty burgers.
24101801,COMFORTC,10/18/2024,Praise,"""Alamo Bennies (eggs, bacon, ham, sausage, hollandaise, Lyonnaise potatoes).""","Caller Steve raved about this donation-only spot helping folks in recovery. Said the food’s Magnolia Pancake House-level awesome, especially the Alamo Bennies."
24090601,DARKSIDE,09/06/2024,Praise,"""Meat Lover’s Pizza… hand-tossed crust.""",Caller Jo Beth loved the movie memorabilia and fun vibe between Boerne and Bulverde off Highway 46. Said it’s great for families.
24090602,JULIANSIAH,09/06/2024,Praise,None specified—general praise for the food.,"Host Jack gave a shoutout after a lunchtime meeting with the family owners, praising their food and the kids running it now."
24090603,SCHULTZS,09/06/2024,Praise,"""Turkey… brisket… pepper jack sausage.""",Caller Tommy said it’s super clean with great BBQ off I-10 on Highway 123. Loved the moist turkey and live music.
24090604,KIRBYSKO,09/06/2024,Praise,None specified—general mention as a favorite.,Caller Tommy mentioned it as a favorite burger spot in Seguin they were heading to before stopping at Schultz’s instead.
24090605,TOROKOSU,09/06/2024,Praise,"""Sushi was some of the best I’ve had in San Antonio.""",Host Jack said he’s been twice recently and found the sushi exceptionally fresh and good for a non-expert.
24090606,REALREAL,09/06/2024,Praise,"""Jerk chicken… jerk fish… roti.""","Caller Natalie, a Jamaican, raved about its authentic taste at 6828 San Pedro off I-10 exit 20. Said it’s small but worth the wait if you order ahead."
24041201,SEAISLAN,04/12/2024,Zing,"None specified—zing was about service, not food.","Caller Brenda zinged the original location behind North Star Mall for rude service from a busboy, though she still likes the food."
24041202,GUILLERM,04/12/2024,Praise,None specified—general praise over the years.,Host Jack noted the McCullough location is closing but praised it as a good spot worth visiting while it lasts.
24041203,BOHANANS,04/12/2024,Praise,"""Beef is always good.""",Caller Clyde said it’s a favorite steakhouse with great beef and attentive service—glasses never go empty. Jack recalled a past call about Robert Duvall dining there.
24041204,PEGGYSON,04/12/2024,Praise,None specified—general praise.,"Caller Clyde mentioned it as another spot by Bohanan’s owner, saying he’s never had a bad experience there either."
24032901,ELBURRIT,03/29/2024,Praise,"""Steak… outstanding, don’t put anything on it!""","Ron raved about the ribeye steak—juicy, seared, and flavorful with a special rub, no sauce needed. Enchiladas, rice, beans, and homemade chips were hits too. Friendly staff, great value. Jack noted it’s a first-time call."
24032902,RAYSDRIV,03/29/2024,Zing,"""Puffy taco… no flavor at all.""","Sam zinged it—puffy taco meat was bland, beans tasteless, chips hard. Asked for a fresh shell, but the manager refused with attitude. Roaches spotted too. Used to be better; Jack recalled past positive calls."
24032201,LOSAZULE,03/22/2024,Praise,"""Ceviche… fabulous!""","Matt praised the tamarindo margaritas—perfectly balanced—and fresh ceviche stacked uniquely. Tacos de ribeye with homemade corn tortillas were tender and flavorful. Small spot, unique interior Mexico vibe. Jack noted a prior call."
24032202,CUARTODE,03/22/2024,Praise,"""Burger… amazing spices!""","Lydia loved the half-pound burgers with integrated spices—split one with her husband. Chile relleno stuffed with cheese was a standout. Small menu, open-flame grilled, fun challenge for eating two in 30 minutes. Jack noted its Mexico chain origin."
24032203,TJSHAMBU,03/22/2024,Praise,"""Burgers… really unique!""",Gennaro praised the reopened icon—old-school burgers with a unique taste from disco days. Fries reminiscent of vintage McDonald’s. Jack confirmed its 50+ year legacy and recent return.
24032204,MARIASCA,03/22/2024,Praise,"""Brisket tacos… out of control!""","Charles raved about the brisket tacos—husband cooks 14 briskets every other day, often sold out. Green sauce has a delayed kick. Tiny hole-in-the-wall, featured on Texas Country Reporter. Jack noted every call mentions brisket."
24031501,GOLDENKI,03/15/2024,Praise,"""Wontons… huge and great!""","Gennaro praised the Kam Lu Wonton—huge shrimp, pork, and chicken wontons with pineapple rings in sweet-and-sour sauce. Enough for multiple meals. Quiet spot, good service, unique dishes. Jack pinpointed its location."
24031502,PAPANACH,03/15/2024,Praise,"""Puffy tacos… awesome!""","Tricia loved the cheese enchiladas and puffy tacos—split with her mom. Great service, friendly staff. Worth the drive from Fredericksburg. Jack noted prior calls praising it."
24031503,PIZZACLA,03/15/2024,Praise,"""Meatball sandwich… perfect!""","Paul raved about the meatball sandwich—halved meatballs embedded in crispy, doughy bread with cheese. Second visit was even better. Busy spot near the zoo. Jack confirmed its appeal."
24031504,ZITOSDEL,03/15/2024,Praise,"""Sandwiches… so juicy and good!""",Paul praised the juicy Delight sandwich (ham and provolone) and roast beef sandwich—messy but delicious. Babcock location lived up to the original’s legacy. Jack noted its sandwich fame.
24031505,RAYSPIZZ,03/15/2024,Praise,"""Pizza… just as good as Boston’s!""","Tony, from Boston, loved the New York-style pizza—slightly burnt bottom, great deals like two slices for $10. Last surviving location of a former chain. Jack recalled other closed sites."
24031506,BROWNBAG,03/15/2024,Praise,"""Chicken salad… so thick!""","Roger enjoyed the piled-high chicken salad sandwich and excellent tuna salad. German chocolate cake tasted homemade. Mostly to-go, small seating area. Jack noted its catering rep."
24031507,ROCKTAPA,03/15/2024,Praise,"""Elvis… really hearty!""","Daniel found it by accident—loved the hearty Elvis (meatballs, sauce, fried potatoes) and fresh Joplin salad. Rock-themed menu, live music, big patio. First-time call, Jack intrigued by the vibe."
24031508,MRAOKSSO,03/15/2024,Praise,"""Pork chops… love some soul food!""","Robert, an East Texas native, raved about two deep-fried pork chops with cornbread, collards, and fried okra. Approachable staff, strip mall spot. Relocated from Rittiman, Jack confirmed."
24030801,JULIANSISO,03/08/2024,Praise,"""Pizza… fantastic!""","Mike praised the outstanding pizza—shared two with his wife, took some home. Affordable, lots of tempting menu items. First visit after years of hearing ads. Jack noted the 1604 location."
24030802,MAGNOLIASO,03/08/2024,Praise,"""Breakfast… really good!""","Mike loved the breakfast—worth the hour-long wait thanks to the online waitlist workaround. Staff bumped them up after a glitch. Unique, not a chain. Jack agreed it’s a rare wait-worthy spot."
24030803,ELWEINEC,03/08/2024,Praise,"""Hot dog… really good chili!""","Dean raved about the grilled hot dog with chili and cheese—one of the best he’s had, with a Mexican flair. Food truck sets up late nights near Texan II bar. Jack noted its event appearances too."
24030804,WILLIESG,03/08/2024,Praise,"""Chopped steak… he loved it!""","John praised the chopped steak (son-in-law’s favorite), patty melt with strawberry margarita (wife’s pick), and ice-cold Shiner Bock. Friendly staff, manager checks in. Jack confirmed its chain status."
